Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
mod/silentgear	Black Terracotta	Main	silentgear:terracotta/black	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
mod/silentgear	Redstone Alloy	Main	silentgear:redstone_alloy		Intermediate, Metal		Malleable III, Eroded III*	840	20x		-15%	18	0.9	45	iron (2)	11		2	0.2		4	1x	0.2x			17	1		8	
mod/silentgear	Blaze Gold	Main	silentgear:blaze_gold		Advanced, Metal		Brilliant*, Greedy III, Malleable III	69	9x			24	1.2	45	blaze_gold (2)	15		2	0.1		5	1x	0.2x	1.2x	90%	13	1		10	
mod/silentgear	Brown Wool	Main	silentgear:wool/brown	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
mod/silentgear	Phantom Membrane	Main	silentgear:phantom_membrane		Intermediate, Organic, Cloth		Renew II*	0	12x			10	0.7	35												6			8	
mod/silentgear	Granite	Main	silentgear:stone/granite	Stone	Rock, Basic		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
mod/silentgear	Black Wool	Main	silentgear:wool/black	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
mod/silentgear	Leaf (Leaves)	Main	silentgear:leaves		Basic, Organic		Flammable, Light I*	0	2x			12	1.1	1												3				
mod/silentgear	Electrum	Main	silentgear:electrum		Intermediate, Metal		Malleable II, Soft II*	96	10x			25	1.5	40	iron (2)	14		2	0.3		5	1x	0.4x			15			11	
mod/silentgear	Andesite	Main	silentgear:stone/andesite	Stone	Rock, Basic		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
mod/silentgear	Example	Main	silentgear:example		Intangible			100	6x			1	1	0	wood (0)	1		1	0		1	0x	0x			4	1		1	
mod/silentgear	Azure Silver	Main	silentgear:azure_silver		Advanced, Metal		Malleable III, Soft II*, Moonwalker IV*	197	17x		50%	29	1.4	83	azure_silver (3)	19		5	0		7	2x	0x	1.2x	110%	13			13	
mod/silentgear	Tin	Main	silentgear:tin		Basic, Metal		Malleable I, Soft II*	192	13x			12	1.1	15	stone (1)	5		1.5	0		1	0.5x	0x			12			2	
mod/silentgear	Cyan Wool	Main	silentgear:wool/cyan	Wool	Basic, Organic, Cloth		Snow Walker*	0	4x			7	0.7	7												4			4	
mod/silentgear	Magenta Terracotta	Main	silentgear:terracotta/magenta	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
mod/silentgear	Golden (Gold)	Tip Upgrade	silentgear:gold		Intermediate, Metal		Malleable I, Soft III*	+16	+1					+30		+6					+2		+0.2							
mod/silentgear	Redstone	Tip Upgrade	silentgear:redstone		Intermediate, Dust, Metal									+10		x1.2		+2	+0.3			+2								
mod/silentgear	Lapis Lazuli	Tip Upgrade	silentgear:lapis_lazuli		Intermediate, Gem		Holy I*, Lucky IV*								lapis_lazuli (1.5)	x0.9			+0.3		+2									
mod/silentgear	Quartz	Tip Upgrade	silentgear:quartz		Intermediate, Gem		Chipping I, Jagged III*	+64	+64					+20	quartz (2)	+2		+4				+1.5								
mod/silentgear	Dimerald	Tip Upgrade	silentgear:dimerald		Advanced, Gem		Imperial II*	+360						+25		+2		+2			+1	+0.5								
mod/silentgear	Amethyst	Tip Upgrade	silentgear:amethyst		Intermediate, Gem		Silky*	x0.75							amethyst (1.5)															
mod/silentgear	Azure Electrum	Tip Upgrade	silentgear:azure_electrum		Endgame, Metal		Malleable III	+401	+11						azure_electrum (4)	+5														
mod/silentgear	Glowstone	Tip Upgrade	silentgear:glowstone		Intermediate, Gem, Dust		Refractive*, Lustrous IV*							+15		x1.4		+2			+2		x1.3							
mod/silentgear	Tyrian Steel	Tip Upgrade	silentgear:tyrian_steel		Endgame, Metal		Imperial III*, Gold Digger III*	+251						+30	tyrian_steel (4)															
mod/silentgear	Crimson Iron	Tip Upgrade	silentgear:crimson_iron		Advanced, Metal		Fiery I	+224	+8					+10	crimson_iron (3)	+2		+2												
mod/silentgear	Diamond	Tip Upgrade	silentgear:diamond		Advanced, Gem		Brittle II, Lustrous II*	+256	+9					+20	diamond (3)	+2		+2			+1	+0.5								
mod/silentgear	Refined Obsidian	Tip Upgrade	silentgear:refined_obsidian		Endgame, Metal		Vulcan*	+600																						
mod/silentgear	Iron	Tip Upgrade	silentgear:iron		Intermediate, Metal		Malleable II	+128	+4					+8	iron (2)	+1		+1					+0.2							
mod/silentgear	Crimson Steel	Tip Upgrade	silentgear:crimson_steel		Endgame, Metal		Magmatic*	+448	+16					+20	crimson_steel (4)															
mod/silentgear	Emerald	Tip Upgrade	silentgear:emerald		Advanced, Gem		Brittle I, Synergistic II	+512	+12					+20	emerald (2)	+2		+1			+2	+1								
mod/silentgear	Bronze	Tip Upgrade	silentgear:bronze		Intermediate, Metal		Malleable II	+96	+2					+6	bronze (2)	+0.75		+0.75	+0.1											
mod/silentgear	Copper	Tip Upgrade	silentgear:copper		Basic, Metal		Malleable I, trait.silentgear.dulling I	+32	+1					+4	copper (1.5)	+1														
mod/silentgear	Refined Glowstone	Tip Upgrade	silentgear:refined_glowstone		Advanced, Metal		Refractive*									+5														
mod/silentgear	Blaze Gold	Tip Upgrade	silentgear:blaze_gold		Advanced, Metal		Soft II*, Fiery IV	+32	+3					+14	blaze_gold (2)	+4		+1			+1									
mod/silentgear	Example	Tip Upgrade	silentgear:example		Intangible																									
mod/silentgear	Azure Silver	Tip Upgrade	silentgear:azure_silver		Advanced, Metal		Malleable II, Fortunate III	+83	+3					+31	azure_silver (3)	+3			+0.2		+2									
mod/silentgear	Bamboo	Tool Rod	silentgear:bamboo		Basic, Organic, Wood		Flexible III																							
mod/silentgear	Golden (Gold)	Tool Rod	silentgear:gold		Intermediate, Metal		Bending IV									+3														
mod/silentgear	Sandstone	Tool Rod	silentgear:sandstone		Rock, Basic		Brittle I																							
mod/silentgear	Lead	Tool Rod	silentgear:lead		Intermediate, Metal		Soft IV*	x1.1						40		x0.9														
mod/silentgear	Osmium	Tool Rod	silentgear:osmium		Intermediate, Metal		Malleable II	x1.1		x1.1				35																
mod/silentgear	Quartz	Tool Rod	silentgear:quartz		Intermediate, Gem		Brittle III									x1.2		x1.1												
mod/silentgear	Refined Iron	Tool Rod	silentgear:refined_iron		Intermediate, Metal		Malleable IV	x1.15						25								x1.1								
mod/silentgear	Yellow Terracotta	Tool Rod	silentgear:terracotta/yellow	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Warped Wood	Tool Rod	silentgear:wood/warped	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Dimerald	Tool Rod	silentgear:dimerald		Advanced, Gem		Brittle I*, Ancient III*									x1.15														
mod/silentgear	Crimson Wood	Tool Rod	silentgear:wood/crimson	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Acacia Wood	Tool Rod	silentgear:wood/acacia	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Basalt	Tool Rod	silentgear:basalt		Rock, Basic		Brittle III, Chipping II									x1.1		x0.9												
mod/silentgear	Cyan Terracotta	Tool Rod	silentgear:terracotta/cyan	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Blackstone	Tool Rod	silentgear:blackstone		Rock, Basic		Brittle I, Jagged II*, Hard I*									x0.9														
mod/silentgear	Steel	Tool Rod	silentgear:steel		Intermediate, Metal		Malleable V	x1.25						40																
mod/silentgear	Obsidian	Tool Rod	silentgear:obsidian		Rock, Advanced		Brittle II, Chipping III									x0.9														
mod/silentgear	Purple Terracotta	Tool Rod	silentgear:terracotta/purple	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Orange Terracotta	Tool Rod	silentgear:terracotta/orange	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Azure Electrum	Tool Rod	silentgear:azure_electrum		Endgame, Metal		Flexible II, Accelerate V*									+3								x2.5						
mod/silentgear	Blaze Rod	Tool Rod	silentgear:blaze_rod		Metal		Flexible IV, Reach I									x1.1		x1.2				x1.1								
mod/silentgear	Platinum	Tool Rod	silentgear:platinum		Advanced, Metal		Malleable II, Soft IV*	x0.9		x1.1				70																
mod/silentgear	Wooden (Wood)	Tool Rod	silentgear:wood		Organic, Wood		Flexible II																							
mod/silentgear	Stone	Tool Rod	silentgear:stone		Rock, Basic		Brittle II, Crushing II									x1.1														
mod/silentgear	Tyrian Steel	Tool Rod	silentgear:tyrian_steel		Endgame, Metal		Sturdy IV*									-2														
mod/silentgear	Oak Wood	Tool Rod	silentgear:wood/oak	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Lumium	Tool Rod	silentgear:lumium		Advanced, Metal		Malleable III, Refractive*							75		x1.2						x1.1								
mod/silentgear	Netherwood	Tool Rod	silentgear:netherwood	Wooden	Organic, Wood		Flexible I									+1		+0.5												
mod/silentgear	Gray Terracotta	Tool Rod	silentgear:terracotta/gray	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Bismuth	Tool Rod	silentgear:bismuth		Intermediate, Metal		Malleable II	x1.1						35		x1.1														
mod/silentgear	Brown Terracotta	Tool Rod	silentgear:terracotta/brown	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Enderium	Tool Rod	silentgear:enderium		Endgame, Metal		Malleable II	x1.2						60		x1.2														
mod/silentgear	Blue Terracotta	Tool Rod	silentgear:terracotta/blue	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Pink Terracotta	Tool Rod	silentgear:terracotta/pink	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Titanium	Tool Rod	silentgear:titanium		Endgame, Metal		Flexible II, Hard IV*	x1.1						80				+2, x1.2												
mod/silentgear	Crimson Iron	Tool Rod	silentgear:crimson_iron		Advanced, Metal		Flexible III											x1.1												
mod/silentgear	Green Terracotta	Tool Rod	silentgear:terracotta/green	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Netherrack	Tool Rod	silentgear:netherrack		Rock, Basic, Organic		Eroded II*, Bending II																							
mod/silentgear	Spruce Wood	Tool Rod	silentgear:wood/spruce	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	White Terracotta	Tool Rod	silentgear:terracotta/white	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Diamond	Tool Rod	silentgear:diamond		Advanced, Gem		Brittle V*, Lustrous IV*									x1.2														
mod/silentgear	Uranium	Tool Rod	silentgear:uranium		Advanced, Metal		Malleable II							40		x1.1							x1.1							
mod/silentgear	Aluminum	Tool Rod	silentgear:aluminum		Intermediate, Metal		Malleable III, Synergistic II	x1.2						30								x1.1								
mod/silentgear	Compressed Iron	Tool Rod	silentgear:compressed_iron		Advanced, Metal		Malleable II	x1.25						40																
mod/silentgear	Terracotta	Tool Rod	silentgear:terracotta		Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Light Blue Terracotta	Tool Rod	silentgear:terracotta/light_blue	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Nickel	Tool Rod	silentgear:nickel		Intermediate, Metal		Malleable III	x1.2						40				x1.1												
mod/silentgear	Red Terracotta	Tool Rod	silentgear:terracotta/red	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Refined Obsidian	Tool Rod	silentgear:refined_obsidian		Endgame, Metal		Malleable IV, Hard III*	x1.25						70																
mod/silentgear	Bismuth Brass	Tool Rod	silentgear:bismuth_brass		Intermediate, Metal		Malleable II	x0.9						50		x1.2														
mod/silentgear	Light Gray Terracotta	Tool Rod	silentgear:terracotta/light_gray	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Bone	Tool Rod	silentgear:bone		Basic, Organic		Flexible II											x1.2												
mod/silentgear	Iron	Tool Rod	silentgear:iron		Intermediate, Metal		Flexible II																							
mod/silentgear	Crimson Steel	Tool Rod	silentgear:crimson_steel		Endgame, Metal		Flexible IV, Sturdy I*									x1.2						+1								
mod/silentgear	Birch Wood	Tool Rod	silentgear:wood/birch	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Flint	Tool Rod	silentgear:flint		Rock, Basic		Brittle III, Jagged II*																							
mod/silentgear	Red Sandstone	Tool Rod	silentgear:sandstone/red	Sandstone	Rock, Basic		Brittle I																							
mod/silentgear	Dark Oak Wood	Tool Rod	silentgear:wood/dark_oak	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Aluminum Steel	Tool Rod	silentgear:aluminum_steel		Advanced, Metal		Malleable III, Synergistic III	x1.3						45		x1.1														
mod/silentgear	Jungle Wood	Tool Rod	silentgear:wood/jungle	Wooden	Organic, Wood		Flexible II																							
mod/silentgear	Emerald	Tool Rod	silentgear:emerald		Advanced, Gem		Brittle IV*									x1.3														
mod/silentgear	Brass	Tool Rod	silentgear:brass		Intermediate, Metal		Malleable II	x1.05						25		x1.05														
mod/silentgear	Rough Wood	Tool Rod	silentgear:wood/rough		Organic, Wood		Crude III, Bending V																							
mod/silentgear	Silver	Tool Rod	silentgear:silver		Intermediate, Metal		Malleable I, Soft II*							40		x1.1					x1.1									
mod/silentgear	Bronze	Tool Rod	silentgear:bronze		Intermediate, Metal		Flexible I											x1.05												
mod/silentgear	Copper	Tool Rod	silentgear:copper		Basic, Metal		Bending III, Soft III*									x1.2														
mod/silentgear	Invar	Tool Rod	silentgear:invar		Intermediate, Metal		Malleable III	x1.3						50				x1.1												
mod/silentgear	Signalum	Tool Rod	silentgear:signalum		Endgame, Metal		Flexible IV, Lustrous II*			x0.9				50		x1.3														
mod/silentgear	Refined Glowstone	Tool Rod	silentgear:refined_glowstone		Advanced, Metal		Malleable IV, Lustrous I*	x0.9						45		x1.2														
mod/silentgear	End Stone	Tool Rod	silentgear:end_stone		Rock, Basic		Malleable I, Ancient IV*											+1												
mod/silentgear	Bismuth Steel	Tool Rod	silentgear:bismuth_steel		Advanced, Metal		Malleable III	x1.25						60		x1.15														
mod/silentgear	Zinc	Tool Rod	silentgear:zinc		Basic, Metal		Malleable II, Soft III*	x0.95						15				x1.05												
mod/silentgear	Breeze Rod	Tool Rod	silentgear:breeze_rod		Metal		Flexible IV, Wind Blast*									x1.2		x1.1				x1.2								
mod/silentgear	Diorite	Tool Rod	silentgear:stone/diorite	Stone	Rock, Basic		Brittle II, Crushing II									x1.1														
mod/silentgear	Lime Terracotta	Tool Rod	silentgear:terracotta/lime	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Black Terracotta	Tool Rod	silentgear:terracotta/black	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
mod/silentgear	Redstone Alloy	Tool Rod	silentgear:redstone_alloy		Intermediate, Metal		Malleable III							45		x1.2														
mod/silentgear	Blaze Gold	Tool Rod	silentgear:blaze_gold		Advanced, Metal		Flexible III									x1.1														
mod/silentgear	Granite	Tool Rod	silentgear:stone/granite	Stone	Rock, Basic		Brittle II, Crushing II									x1.1														
mod/silentgear	Electrum	Tool Rod	silentgear:electrum		Intermediate, Metal		Lustrous III*							40					+0.1				x1.1							
mod/silentgear	Andesite	Tool Rod	silentgear:stone/andesite	Stone	Rock, Basic		Brittle II, Crushing II									x1.1														
mod/silentgear	Example	Tool Rod	silentgear:example		Intangible																									
mod/silentgear	Azure Silver	Tool Rod	silentgear:azure_silver		Advanced, Metal		Bending II	x0.8								+3														
mod/silentgear	Tin	Tool Rod	silentgear:tin		Basic, Metal		Malleable II, Soft I*							15					+0.2											
mod/silentgear	End Rod	Tool Rod	silentgear:end_rod		Metal		Flexible IV, Sturdy II, Refractive*									x1.2		x1.1				x1.1								
mod/silentgear	Magenta Terracotta	Tool Rod	silentgear:terracotta/magenta	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
