Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
null	Magenta Terracotta	Main	silentgear:terracotta/magenta	Terracotta	Basic, Rock		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Gold	Tip Upgrade	silentgear:gold		Intermediate, Metal		Malleable I, Soft III*	+16	+1					+30		+6					+2		+0.2							
null	Redstone	Tip Upgrade	silentgear:redstone		Intermediate, Dust, Metal									+10		x1.2		+2	+0.3			+2								
null	Lapis Lazuli	Tip Upgrade	silentgear:lapis_lazuli		Gem, Intermediate		Holy I*, Lucky IV*								lapis_lazuli (1.5)	x0.9			+0.3		+2									
null	Quartz	Tip Upgrade	silentgear:quartz		Gem, Intermediate		Chipping I, Jagged III*	+64	+64					+20	quartz (2)	+2		+4				+1.5								
null	Dimerald	Tip Upgrade	silentgear:dimerald		Advanced, Gem		Imperial II*	+360						+25		+2		+2			+1	+0.5								
null	Amethyst	Tip Upgrade	silentgear:amethyst		Gem, Intermediate		Silky*	x0.75							amethyst (1.5)															
null	Azure Electrum	Tip Upgrade	silentgear:azure_electrum		Endgame, Metal		Malleable III	+401	+11						azure_electrum (4)	+5														
null	Glowstone	Tip Upgrade	silentgear:glowstone		Gem, Intermediate, Dust		Refractive*, Lustrous IV*							+15		x1.4		+2			+2		x1.3							
null	Tyrian Steel	Tip Upgrade	silentgear:tyrian_steel		Endgame, Metal		Imperial III*, Gold Digger III*	+251						+30	tyrian_steel (4)															
null	Crimson Iron	Tip Upgrade	silentgear:crimson_iron		Advanced, Metal		Fiery I	+224	+8					+10	crimson_iron (3)	+2		+2												
null	Diamond	Tip Upgrade	silentgear:diamond		Advanced, Gem		Brittle II, Lustrous II*	+256	+9					+20	diamond (3)	+2		+2			+1	+0.5								
null	Refined Obsidian	Tip Upgrade	silentgear:refined_obsidian		Endgame, Metal		Vulcan*	+600																						
null	Iron	Tip Upgrade	silentgear:iron		Intermediate, Metal		Malleable II	+128	+4					+8	iron (2)	+1		+1					+0.2							
null	Crimson Steel	Tip Upgrade	silentgear:crimson_steel		Endgame, Metal		Magmatic*	+448	+16					+20	crimson_steel (4)															
null	Emerald	Tip Upgrade	silentgear:emerald		Advanced, Gem		Brittle I, Synergistic II	+512	+12					+20	emerald (2)	+2		+1			+2	+1								
null	Bronze	Tip Upgrade	silentgear:bronze		Intermediate, Metal		Malleable II	+96	+2					+6	bronze (2)	+0.75		+0.75	+0.1											
null	Copper	Tip Upgrade	silentgear:copper		Basic, Metal		Malleable I, trait.silentgear.dulling I	+32	+1					+4	copper (1.5)	+1														
null	Refined Glowstone	Tip Upgrade	silentgear:refined_glowstone		Advanced, Metal		Refractive*									+5														
null	Blaze Gold	Tip Upgrade	silentgear:blaze_gold		Advanced, Metal		Soft II*, Fiery IV	+32	+3					+14	blaze_gold (2)	+4		+1			+1									
null	Example	Tip Upgrade	silentgear:example		Intangible																									
null	Azure Silver	Tip Upgrade	silentgear:azure_silver		Advanced, Metal		Malleable II, Fortunate III	+83	+3					+31	azure_silver (3)	+3			+0.2		+2									
null	Bamboo	Tool Rod	silentgear:bamboo		Basic, Organic, Wood		Flexible III																							
null	Gold	Tool Rod	silentgear:gold		Intermediate, Metal		Bending IV									+3														
null	Sandstone	Tool Rod	silentgear:sandstone		Basic, Rock		Brittle I																							
null	Lead	Tool Rod	silentgear:lead		Intermediate, Metal		Soft IV*	x1.1						40		x0.9														
null	Osmium	Tool Rod	silentgear:osmium		Intermediate, Metal		Malleable II	x1.1		x1.1				35																
null	Quartz	Tool Rod	silentgear:quartz		Gem, Intermediate		Brittle III									x1.2		x1.1												
null	Refined Iron	Tool Rod	silentgear:refined_iron		Intermediate, Metal		Malleable IV	x1.15						25								x1.1								
null	Yellow Terracotta	Tool Rod	silentgear:terracotta/yellow	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Warped Wood	Tool Rod	silentgear:wood/warped	Wooden	Organic, Wood		Flexible II																							
null	Dimerald	Tool Rod	silentgear:dimerald		Advanced, Gem		Brittle I*, Ancient III*									x1.15														
null	Crimson Wood	Tool Rod	silentgear:wood/crimson	Wooden	Organic, Wood		Flexible II																							
null	Acacia Wood	Tool Rod	silentgear:wood/acacia	Wooden	Organic, Wood		Flexible II																							
null	Basalt	Tool Rod	silentgear:basalt		Basic, Rock		Brittle III, Chipping II									x1.1		x0.9												
null	Cyan Terracotta	Tool Rod	silentgear:terracotta/cyan	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Blackstone	Tool Rod	silentgear:blackstone		Basic, Rock		Brittle I, Jagged II*, Hard I*									x0.9														
null	Steel	Tool Rod	silentgear:steel		Intermediate, Metal		Malleable V	x1.25						40																
null	Obsidian	Tool Rod	silentgear:obsidian		Advanced, Rock		Brittle II, Chipping III									x0.9														
null	Purple Terracotta	Tool Rod	silentgear:terracotta/purple	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Orange Terracotta	Tool Rod	silentgear:terracotta/orange	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Azure Electrum	Tool Rod	silentgear:azure_electrum		Endgame, Metal		Flexible II, Accelerate V*									+3								x2.5						
null	Blaze Rod	Tool Rod	silentgear:blaze_rod		Metal		Flexible IV, Reach I									x1.1		x1.2				x1.1								
null	Platinum	Tool Rod	silentgear:platinum		Advanced, Metal		Malleable II, Soft IV*	x0.9		x1.1				70																
null	Wooden	Tool Rod	silentgear:wood		Organic, Wood		Flexible II																							
null	Stone	Tool Rod	silentgear:stone		Basic, Rock		Brittle II, Crushing II									x1.1														
null	Tyrian Steel	Tool Rod	silentgear:tyrian_steel		Endgame, Metal		Sturdy IV*									-2														
null	Oak Wood	Tool Rod	silentgear:wood/oak	Wooden	Organic, Wood		Flexible II																							
null	Lumium	Tool Rod	silentgear:lumium		Advanced, Metal		Malleable III, Refractive*							75		x1.2						x1.1								
null	Netherwood	Tool Rod	silentgear:netherwood	Wooden	Organic, Wood		Flexible I									+1		+0.5												
null	Gray Terracotta	Tool Rod	silentgear:terracotta/gray	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Bismuth	Tool Rod	silentgear:bismuth		Intermediate, Metal		Malleable II	x1.1						35		x1.1														
null	Brown Terracotta	Tool Rod	silentgear:terracotta/brown	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Enderium	Tool Rod	silentgear:enderium		Endgame, Metal		Malleable II	x1.2						60		x1.2														
null	Blue Terracotta	Tool Rod	silentgear:terracotta/blue	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Pink Terracotta	Tool Rod	silentgear:terracotta/pink	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Titanium	Tool Rod	silentgear:titanium		Endgame, Metal		Flexible II, Hard IV*	x1.1						80				+2, x1.2												
null	Crimson Iron	Tool Rod	silentgear:crimson_iron		Advanced, Metal		Flexible III											x1.1												
null	Green Terracotta	Tool Rod	silentgear:terracotta/green	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Netherrack	Tool Rod	silentgear:netherrack		Basic, Organic, Rock		Eroded II*, Bending II																							
null	Spruce Wood	Tool Rod	silentgear:wood/spruce	Wooden	Organic, Wood		Flexible II																							
null	White Terracotta	Tool Rod	silentgear:terracotta/white	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Diamond	Tool Rod	silentgear:diamond		Advanced, Gem		Brittle V*, Lustrous IV*									x1.2														
null	Uranium	Tool Rod	silentgear:uranium		Advanced, Metal		Malleable II							40		x1.1							x1.1							
null	Aluminum	Tool Rod	silentgear:aluminum		Intermediate, Metal		Malleable III, Synergistic II	x1.2						30								x1.1								
null	Compressed Iron	Tool Rod	silentgear:compressed_iron		Advanced, Metal		Malleable II	x1.25						40																
null	Terracotta	Tool Rod	silentgear:terracotta		Basic, Rock		Brittle II, Crushing I											x1.1												
null	Light Blue Terracotta	Tool Rod	silentgear:terracotta/light_blue	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Nickel	Tool Rod	silentgear:nickel		Intermediate, Metal		Malleable III	x1.2						40				x1.1												
null	Red Terracotta	Tool Rod	silentgear:terracotta/red	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Refined Obsidian	Tool Rod	silentgear:refined_obsidian		Endgame, Metal		Malleable IV, Hard III*	x1.25						70																
null	Bismuth Brass	Tool Rod	silentgear:bismuth_brass		Intermediate, Metal		Malleable II	x0.9						50		x1.2														
null	Light Gray Terracotta	Tool Rod	silentgear:terracotta/light_gray	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Bone	Tool Rod	silentgear:bone		Basic, Organic		Flexible II											x1.2												
null	Iron	Tool Rod	silentgear:iron		Intermediate, Metal		Flexible II																							
null	Crimson Steel	Tool Rod	silentgear:crimson_steel		Endgame, Metal		Flexible IV, Sturdy I*									x1.2						+1								
null	Birch Wood	Tool Rod	silentgear:wood/birch	Wooden	Organic, Wood		Flexible II																							
null	Flint	Tool Rod	silentgear:flint		Basic, Rock		Brittle III, Jagged II*																							
null	Red Sandstone	Tool Rod	silentgear:sandstone/red	Sandstone	Basic, Rock		Brittle I																							
null	Dark Oak Wood	Tool Rod	silentgear:wood/dark_oak	Wooden	Organic, Wood		Flexible II																							
null	Aluminum Steel	Tool Rod	silentgear:aluminum_steel		Advanced, Metal		Malleable III, Synergistic III	x1.3						45		x1.1														
null	Jungle Wood	Tool Rod	silentgear:wood/jungle	Wooden	Organic, Wood		Flexible II																							
null	Emerald	Tool Rod	silentgear:emerald		Advanced, Gem		Brittle IV*									x1.3														
null	Brass	Tool Rod	silentgear:brass		Intermediate, Metal		Malleable II	x1.05						25		x1.05														
null	Rough Wood	Tool Rod	silentgear:wood/rough		Organic, Wood		Crude III, Bending V																							
null	Silver	Tool Rod	silentgear:silver		Intermediate, Metal		Malleable I, Soft II*							40		x1.1					x1.1									
null	Bronze	Tool Rod	silentgear:bronze		Intermediate, Metal		Flexible I											x1.05												
null	Copper	Tool Rod	silentgear:copper		Basic, Metal		Bending III, Soft III*									x1.2														
null	Invar	Tool Rod	silentgear:invar		Intermediate, Metal		Malleable III	x1.3						50				x1.1												
null	Signalum	Tool Rod	silentgear:signalum		Endgame, Metal		Flexible IV, Lustrous II*			x0.9				50		x1.3														
null	Refined Glowstone	Tool Rod	silentgear:refined_glowstone		Advanced, Metal		Malleable IV, Lustrous I*	x0.9						45		x1.2														
null	End Stone	Tool Rod	silentgear:end_stone		Basic, Rock		Malleable I, Ancient IV*											+1												
null	Bismuth Steel	Tool Rod	silentgear:bismuth_steel		Advanced, Metal		Malleable III	x1.25						60		x1.15														
null	Zinc	Tool Rod	silentgear:zinc		Basic, Metal		Malleable II, Soft III*	x0.95						15				x1.05												
null	Breeze Rod	Tool Rod	silentgear:breeze_rod		Metal		Flexible IV, Wind Blast*									x1.2		x1.1				x1.2								
null	Diorite	Tool Rod	silentgear:stone/diorite	Stone	Basic, Rock		Brittle II, Crushing II									x1.1														
null	Lime Terracotta	Tool Rod	silentgear:terracotta/lime	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Black Terracotta	Tool Rod	silentgear:terracotta/black	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
null	Redstone Alloy	Tool Rod	silentgear:redstone_alloy		Intermediate, Metal		Malleable III							45		x1.2														
null	Blaze Gold	Tool Rod	silentgear:blaze_gold		Advanced, Metal		Flexible III									x1.1														
null	Granite	Tool Rod	silentgear:stone/granite	Stone	Basic, Rock		Brittle II, Crushing II									x1.1														
null	Electrum	Tool Rod	silentgear:electrum		Intermediate, Metal		Lustrous III*							40					+0.1				x1.1							
null	Andesite	Tool Rod	silentgear:stone/andesite	Stone	Basic, Rock		Brittle II, Crushing II									x1.1														
null	Example	Tool Rod	silentgear:example		Intangible																									
null	Azure Silver	Tool Rod	silentgear:azure_silver		Advanced, Metal		Bending II	x0.8								+3														
null	Tin	Tool Rod	silentgear:tin		Basic, Metal		Malleable II, Soft I*							15					+0.2											
null	End Rod	Tool Rod	silentgear:end_rod		Metal		Flexible IV, Sturdy II, Refractive*									x1.2		x1.1				x1.1								
null	Magenta Terracotta	Tool Rod	silentgear:terracotta/magenta	Terracotta	Basic, Rock		Brittle II, Crushing I											x1.1												
